objid,type,name,ra,dec,u,g,r,i,z,redshift
1237661070337703967,GALAXY,NGC 4421,186.760570042241,15.4614848414081,14.28411,12.35552,11.6434,11.26811,11.0568,0.00517429
1237661852006744094,STAR,NGC 4389,186.394510556544,45.6840229011098,24.63468,20.27438,19.49921,19.40884,19.23051,Null
1237661970648399911,GALAXY,IC 3102,184.357534484505,6.69008275854443,14.62493,12.77963,11.94422,11.55966,11.29352,0.007420431
1237662236930342973,STAR,NGC 4424,186.798993693635,9.42021779342339,19.49337,18.98496,19.03505,19.0176,18.49536,0.001482355
1237662525766828100,GALAXY,IC 3392,187.18024925391,14.9995196698191,14.95305,13.24557,12.46424,12.07808,11.80205,0.005566211
1237666407923318886,GALAXY,NGC 1068,40.6696663002652,-0.01321990462165,12.61847,11.12038,10.61621,11.125,10.74164,Null
1237668565027192906,GALAXY,NGC 4394,186.481813201454,18.2139127292344,13.68174,11.87352,11.05782,10.63778,10.43322,Null
1237668589723910186,GALAXY,NGC 4450,187.123280696347,17.0850106919921,13.46513,11.56297,10.69802,10.27943,9.996951,Null
1237678918059098115,GALAXY,NGC 63,4.43976425429918,11.4502875610672,13.7216,12.46615,11.80761,11.5036,11.15032,Null
