name,zErr,zWarning,class
NGC4421,5.312862E-06,0,GALAXY
NGC4389,6.533301E-06,0,GALAXY
IC3102,6.230634E-06,0,GALAXY
NGC4424,7.263836E-06,0,GALAXY
IC3392,1.519414E-05,0,GALAXY
NGC1068,1.396095E-05,0,GALAXY
NGC4394,nan,nan,nan
NGC4450,nan,nan,nan
NGC63,nan,nan,nan
