name,zErr,zWarning,class
NGC4436,9.443263E-06,0,GALAXY
UGC9436,1.631214E-05,0,GALAXY
IC3363,2.553099E-05,0,STAR
IC3506,4.801646E-05,0,GALAXY
VCC1065,3.254892E-05,0,STAR
VCC1661,5.868316E-05,0,GALAXY
NGC4482,1.034222E-05,0,GALAXY
VCC1948,4.017711E-05,0,GALAXY
NGC5866A,2.37378E-05,0,STAR
