objid,type,name,ra,dec,u,g,r,i,z,redshift
1237658492283387948,GALAXY,NGC 4578,189.377336521559,9.55507492114917,14.07654,12.22705,11.41738,11.02602,10.7852,Null
1237658628622450878,GALAXY,NGC 4564,189.112449540692,11.4392003202525,13.6392,11.71957,10.90228,10.44918,10.22676,Null
1237661070337507376,GALAXY,NGC 4379,186.311455669239,15.6074222565189,13.91291,12.16349,11.40968,10.96847,10.70799,Null
1237661950255169580,GALAXY,NGC 4387,186.423666025603,12.8105090575304,14.58216,12.81237,12.06526,11.6879,11.32647,0.001793675
1237661951318491161,GALAXY,NGC 3379,161.956720276013,12.5817171374068,12.43019,10.53808,9.752486,12.90377,9.007581,Null
1237661971187367996,GALAXY,NGC 4570,189.222426644432,7.24659549820191,13.55639,11.66778,10.85725,10.41076,10.14038,Null
1237661976012718116,GALAXY,NGC 4623,190.544520801829,7.67699499523104,14.57856,12.79411,12.04364,11.64878,11.39026,Null
1237662239080054881,GALAXY,NGC 4694,192.062897146894,10.9833471106437,13.41624,12.08628,11.65663,11.44449,11.17666,Null
1237671128593989759,GALAXY,NGC 4119,182.040086051268,10.3789065405272,14.55117,12.91872,12.20571,11.83524,11.58501,0.005509924
