name,zErr,zWarning,class
NGC3611,nan,nan,nan
NGC4224,5.446268E-06,0,GALAXY
NGC4067,nan,nan,nan
PGC012490,4.451671E-06,0,GALAXY
IC591,4.779935E-06,0,GALAXY
NGC573,nan,nan,nan
NGC4291,8.34355E-06,0,GALAXY
IC851,1.309608E-05,0,GALAXY
NGC7515,nan,nan,nan
