name,objID,type,petroMag_r,petroR50_r,petroR90_r
NGC4578,1237658492283387948,GALAXY,11.59558,13.10517,39.52841
NGC4564,1237658628622450878,GALAXY,11.00028,12.17132,37.61922
NGC4379,1237661070337507376,GALAXY,11.52138,12.51916,38.88537
NGC4387,1237661950255169580,GALAXY,12.04713,9.169671,26.36912
NGC3379,1237661951318491161,GALAXY,10.04243,10.0943,29.04618
NGC4570,1237661971187367996,GALAXY,10.75139,11.41411,38.49877
NGC4623,1237661976012718116,GALAXY,12.44035,10.80095,24.71741
NGC4694,1237662239080054881,GALAXY,11.83501,13.0961,35.95063
NGC4119,1237671128593989759,GALAXY,11.7226,21.70997,55.37713
