name,objID,type,petroMag_r,petroR50_r,petroR90_r
NGC4421,1237661070337703967,GALAXY,11.59765,21.10733,54.67371
NGC4389,1237661852006744094,STAR,19.65256,0.8302455,1.424387
IC3102,1237661970648399911,GALAXY,12.00356,18.32746,50.79918
NGC4424,1237662236930342973,STAR,19.1167,0.68199,1.341285
IC3392,1237662525766828100,GALAXY,12.41817,15.5793,33.24531
NGC1068,1237666407923318886,GALAXY,10.22205,6.516019,13.96877
NGC4394,1237668565027192906,GALAXY,11.04129,25.44782,73.20075
NGC4450,1237668589723910186,GALAXY,10.75696,18.65441,45.17996
NGC63,1237678918059098115,GALAXY,11.9684,14.73847,31.64279
