objid,type,name,ra,dec,u,g,r,i,z,redshift
1237661068711362686,GALAXY,PGC 028887,149.931219222681,11.6607391514573,16.14984,14.42928,13.63177,13.2947,13.04429,0.009394326
1237661362371756078,GALAXY,NGC 5198,202.547437795091,46.6707266799122,14.53858,12.64802,11.88269,11.42823,11.14711,Null
1237661817632915494,GALAXY,IC 3631,189.950070546985,12.9739673454605,15.13951,13.85018,13.41472,13.15464,13.02732,0.009433304
1237661971184877624,GALAXY,NGC 4191,183.460006782374,7.2008999332553,15.14224,13.32153,12.55041,12.14782,11.89534,0.008796161
1237662697041297487,GALAXY,NGC 6149,246.850984893641,19.5971918068924,15.71461,13.88651,13.04625,12.63119,12.33445,0.008124122
1237664106316169359,GALAXY,PGC 029321,151.463282208088,12.9612922867273,16.53985,14.89091,14.13872,13.7636,13.45051,0.009375475
1237665026511142935,GALAXY,NGC 3694,172.225537295023,35.413997800337,15.0373,13.73704,13.03776,12.71509,12.42846,0.007528562
1237667324334637086,GALAXY,IC 4011,195.026605798777,28.0041166150692,18.74981,16.63668,15.85161,15.45258,15.16259,0.02420072
1237671763175211093,GALAXY,NGC 4690,191.981326701442,-1.65603992248965,15.09198,13.41595,12.69527,12.32109,12.09977,Null
