name,objID,type,petroR50_r,petroMag_r,petroR90_r
NGC4436,1237658629695275065,GALAXY,12.25542,13.1958,35.61476
UGC9436,1237661069263437997,GALAXY,14.29028,13.66843,37.36007
IC3363,1237661812812480605,GALAXY,11.17162,14.98353,23.82109
IC3506,1237661950256087121,GALAXY,11.66106,15.4131,24.97613
VCC1065,1237661951329173613,GALAXY,7.040388,15.91423,14.78543
VCC1661,1237662238005067885,GALAXY,12.33355,15.57268,23.60366
NGC4482,1237662238541283500,GALAXY,15.87349,12.86719,42.80044
VCC1948,1237662238542659726,GALAXY,9.883181,15.06396,21.7196
NGC5866A,1237671938723086552,GALAXY,8.70194,15.27104,19.28256
