name,objID,type,petroMag_r,petroR50_r,petroR90_r
LED214054,1237650762397253702,GALAXY,17.64355,5.84259,11.64343
VCC825,1237658493355884811,GALAXY,16.01099,11.35893,21.72524
VCC963,1237661069263962342,GALAXY,16.91739,7.981104,16.18128
PGC051247,1237661850405568589,GALAXY,14.83844,7.827386,20.81681
NGC08542,1237662225147494568,GALAXY,15.24971,9.282929,22.48264
PGC045416,1237662525770825894,GALAXY,15.77188,6.322763,16.16327
PGC037162,1237664289388560775,GALAXY,15.61309,10.93135,21.82299
UGC07300,1237667444581400597,GALAXY,20.62265,1.028906,3.897062
UGC07983,1237671264961495280,GALAXY,15.92208,9.952115,20.9089
