name,zErr,zWarning,class
NGC4578,8.378085E-05,0,GALAXY
NGC4564,nan,nan,nan
NGC4379,nan,nan,nan
NGC4387,6.648186E-06,0,GALAXY
NGC3379,1.194883E-05,0,GALAXY
NGC4570,nan,nan,nan
NGC4623,4.420138E-05,0,GALAXY
NGC4694,2.264739E-05,0,STAR
NGC4119,8.083553E-06,0,GALAXY
