objid,type,name,ra,dec,u,g,r,i,z,redshift
1237650762397253702,GALAXY,LED 214054,195.253059378038,-1.97617210093603,18.39691,17.74925,17.58678,17.67872,17.4281,0.004603982
1237658493355884811,GALAXY,VCC 825,186.413903887937,10.5838861909115,17.67713,16.36685,15.92324,15.67177,15.58475,0.005717723
1237661069263962342,GALAXY,VCC 963,186.74647186033,14.7823683982811,18.14477,17.11545,16.76184,17.16346,16.79813,0.006256429
1237661850405568589,GALAXY,PGC 051247,215.167752704458,40.3153163645902,16.29905,15.27716,14.90268,14.71266,14.57703,0.004318803
1237662225147494568,GALAXY,NGC 08542,203.382485760146,38.605413583338,17.04502,15.6338,15.26063,15.09603,14.90291,0.003968257
1237662525770825894,GALAXY,PGC 045416,196.733734100418,14.8074190736472,17.18937,16.14413,15.79501,15.71834,15.67109,0.003234245
1237664289388560775,GALAXY,PGC 037162,178.007922807359,13.8786928670199,16.73653,16.28363,15.47811,15.71003,15.18265,0.003195417
1237667444581400597,GALAXY,UGC 07300,184.180270867628,28.7310127245198,22.12938,21.03681,20.81529,20.80425,20.88942,0.004153253
1237671264961495280,GALAXY,UGC 07983,192.445686412905,3.84240049574815,17.21192,16.16574,15.91583,15.7533,15.86951,0.001931862
