objid,type,name,ra,dec,u,g,r,i,z,redshift
1237658629695275065,GALAXY,NGC 4436,186.921820214194,12.3158984679312,15.30011,13.66959,13.02095,12.66283,12.39449,0.003716861
1237661069263437997,GALAXY,UGC 9436,185.581367437608,14.7607770631654,16.05554,14.39054,13.69026,13.36209,13.21818,0.003277087
1237661812812480605,GALAXY,IC 3363,186.762785851315,12.5608198827691,17.1928,15.53161,14.91138,14.61823,14.50344,0.002770019
1237661950256087121,GALAXY,IC 3506,188.528079260845,12.7415978498836,17.55772,16.11192,15.4266,15.09601,15.063,0.005030092
1237661951329173613,GALAXY,VCC 1065,187.020694115634,13.578111131397,17.77139,16.47737,15.87223,15.5664,15.44213,0.0003713897
1237662238005067885,GALAXY,VCC 1661,189.103261412911,10.3846979236787,17.64411,16.20269,15.51339,15.16869,15.01772,0.004734551
1237662238541283500,GALAXY,NGC 4482,187.54302923925,10.7794901323181,14.92874,13.39507,12.75644,12.43762,12.19261,0.006121229
1237662238542659726,GALAXY,VCC 1948,190.741808593301,10.6819286107181,16.94712,15.58567,15.01987,14.69671,14.60096,0.005371675
1237671938723086552,GALAXY,NGC 5866A,226.316933481185,55.8279081017092,17.33493,15.87747,15.24867,14.94984,14.8137,0.001945053
